x,y,vx,vy,pressure,type
-5.18443729e-02,-5.18443729e-02,-4.23758736e-01,-4.23758736e-01,0.00000000e+00,0
-3.49377452e-02,-3.62688096e-02,-2.85814919e-01,-3.02364240e-01,0.00000000e+00,0
3.49377439e-02,-3.62688101e-02,2.85814914e-01,-3.02364219e-01,0.00000000e+00,0
5.18443729e-02,-5.18443729e-02,4.23758736e-01,-4.23758736e-01,0.00000000e+00,0
-4.94345600e-02,-4.94345600e-02,-4.02488205e-01,-4.02488205e-01,0.00000000e+00,0
-2.61697909e-02,-3.70318939e-02,-2.25956993e-01,-2.96862245e-01,0.00000000e+00,0
-2.80887868e-02,-4.39891455e-02,-2.52641088e-01,-3.59225969e-01,0.00000000e+00,0
2.80887880e-02,-4.39891455e-02,2.52641102e-01,-3.59225969e-01,0.00000000e+00,0
2.61697976e-02,-3.70318979e-02,2.25957100e-01,-2.96862272e-01,0.00000000e+00,0
4.94345600e-02,-4.94345600e-02,4.02488205e-01,-4.02488205e-01,0.00000000e+00,0
-3.62688096e-02,-3.49377452e-02,-3.02364240e-01,-2.85814919e-01,0.00000000e+00,0
-3.70318939e-02,-2.61697909e-02,-2.96862245e-01,-2.25956993e-01,0.00000000e+00,0
-2.75892404e-02,-2.75892404e-02,-2.45104052e-01,-2.45104052e-01,0.00000000e+00,0
-6.26528336e-03,-3.97373390e-02,-6.74764540e-02,-3.95976390e-01,0.00000000e+00,0
6.31232783e-03,-4.01395457e-02,6.79898647e-02,-4.00643544e-01,0.00000000e+00,0
2.75999899e-02,-2.75999899e-02,2.45221383e-01,-2.45221383e-01,0.00000000e+00,0
3.70318979e-02,-2.61697976e-02,2.96862272e-01,-2.25957100e-01,0.00000000e+00,0
3.62688101e-02,-3.49377439e-02,3.02364219e-01,-2.85814914e-01,0.00000000e+00,0
-4.39891455e-02,-2.80887868e-02,-3.59225969e-01,-2.52641088e-01,0.00000000e+00,0
-3.97373390e-02,-6.26528336e-03,-3.95976390e-01,-6.74764540e-02,0.00000000e+00,0
-7.26915281e-03,-7.26915281e-03,-7.30889245e-02,-7.30889245e-02,0.00000000e+00,0
4.64112534e-03,-4.64112534e-03,4.44438534e-02,-4.44438534e-02,0.00000000e+00,0
4.01395457e-02,-6.31232783e-03,4.00643544e-01,-6.79898647e-02,0.00000000e+00,0
4.39891455e-02,-2.80887880e-02,3.59225969e-01,-2.52641102e-01,0.00000000e+00,0
-4.39891455e-02,2.80887880e-02,-3.59225969e-01,2.52641102e-01,0.00000000e+00,0
-4.01395457e-02,6.31232783e-03,-4.00643544e-01,6.79898647e-02,0.00000000e+00,0
-4.64112534e-03,4.64112534e-03,-4.44438534e-02,4.44438534e-02,0.00000000e+00,0
7.26915281e-03,7.26915281e-03,7.30889245e-02,7.30889245e-02,0.00000000e+00,0
3.97373390e-02,6.26528336e-03,3.95976390e-01,6.74764540e-02,0.00000000e+00,0
4.39891455e-02,2.80887868e-02,3.59225969e-01,2.52641088e-01,0.00000000e+00,0
-3.62688101e-02,3.49377439e-02,-3.02364219e-01,2.85814914e-01,0.00000000e+00,0
-3.70318979e-02,2.61697976e-02,-2.96862272e-01,2.25957100e-01,0.00000000e+00,0
-2.75999899e-02,2.75999899e-02,-2.45221383e-01,2.45221383e-01,0.00000000e+00,0
-6.31232783e-03,4.01395457e-02,-6.79898647e-02,4.00643544e-01,0.00000000e+00,0
6.26528336e-03,3.97373390e-02,6.74764540e-02,3.95976390e-01,0.00000000e+00,0
2.75892404e-02,2.75892404e-02,2.45104052e-01,2.45104052e-01,0.00000000e+00,0
3.70318939e-02,2.61697909e-02,2.96862245e-01,2.25956993e-01,0.00000000e+00,0
3.62688096e-02,3.49377452e-02,3.02364240e-01,2.85814919e-01,0.00000000e+00,0
-4.94345600e-02,4.94345600e-02,-4.02488205e-01,4.02488205e-01,0.00000000e+00,0
-2.61697976e-02,3.70318979e-02,-2.25957100e-01,2.96862272e-01,0.00000000e+00,0
-2.80887880e-02,4.39891455e-02,-2.52641102e-01,3.59225969e-01,0.00000000e+00,0
2.80887868e-02,4.39891455e-02,2.52641088e-01,3.59225969e-01,0.00000000e+00,0
2.61697909e-02,3.70318939e-02,2.25956993e-01,2.96862245e-01,0.00000000e+00,0
4.94345600e-02,4.94345600e-02,4.02488205e-01,4.02488205e-01,0.00000000e+00,0
-5.18443729e-02,5.18443729e-02,-4.23758736e-01,4.23758736e-01,0.00000000e+00,0
-3.49377439e-02,3.62688101e-02,-2.85814914e-01,3.02364219e-01,0.00000000e+00,0
3.49377452e-02,3.62688096e-02,2.85814919e-01,3.02364240e-01,0.00000000e+00,0
5.18443729e-02,5.18443729e-02,4.23758736e-01,4.23758736e-01,0.00000000e+00,0
