x,y,vx,vy,pressure,type
-5.82272468e-02,-5.82272468e-02,-2.45104052e-01,-2.45104052e-01,0.00000000e+00,0
5.82526628e-02,-5.82526628e-02,2.45221383e-01,-2.45221383e-01,0.00000000e+00,0
-1.64052684e-02,-1.64052684e-02,-7.30889245e-02,-7.30889245e-02,0.00000000e+00,0
1.01966070e-02,-1.01966070e-02,4.44438534e-02,-4.44438534e-02,0.00000000e+00,0
-1.01966070e-02,1.01966070e-02,-4.44438534e-02,4.44438534e-02,0.00000000e+00,0
1.64052684e-02,1.64052684e-02,7.30889245e-02,7.30889245e-02,0.00000000e+00,0
-5.82526628e-02,5.82526628e-02,-2.45221383e-01,2.45221383e-01,0.00000000e+00,0
5.82272468e-02,5.82272468e-02,2.45104052e-01,2.45104052e-01,0.00000000e+00,0
