x,y,vx,vy,pressure,type
-3.03664794e-02,-3.03664794e-02,-6.32866138e-01,-6.32866138e-01,0.00000000e+00,0
-1.97358725e-02,-3.77413850e-02,-3.97072407e-01,-8.71619524e-01,0.00000000e+00,0
-1.14863892e-02,-4.00047421e-02,-2.13875645e-01,-9.54240674e-01,0.00000000e+00,0
-9.74499434e-03,-3.21381687e-02,-2.30002701e-01,-7.76617735e-01,0.00000000e+00,0
-3.46537137e-03,-3.61008055e-02,-8.82634879e-02,-8.55484053e-01,0.00000000e+00,0
3.46537137e-03,-3.61008055e-02,8.82634879e-02,-8.55484053e-01,0.00000000e+00,0
9.74499434e-03,-3.21381687e-02,2.30002701e-01,-7.76617735e-01,0.00000000e+00,0
1.14863892e-02,-4.00047421e-02,2.13875645e-01,-9.54240674e-01,0.00000000e+00,0
1.97358725e-02,-3.77413850e-02,3.97072407e-01,-8.71619524e-01,0.00000000e+00,0
3.03664794e-02,-3.03664794e-02,6.32866138e-01,-6.32866138e-01,0.00000000e+00,0
-3.77413850e-02,-1.97358725e-02,-8.71619524e-01,-3.97072407e-01,0.00000000e+00,0
-1.79886676e-02,-1.79886676e-02,-3.58709157e-01,-3.58709157e-01,0.00000000e+00,0
-1.60017288e-02,-2.46271111e-02,-4.43289685e-01,-5.91274714e-01,0.00000000e+00,0
-9.90631128e-03,-1.42435174e-02,-3.36848318e-01,-2.51479510e-01,0.00000000e+00,0
-1.06007206e-02,-3.10227768e-02,-3.72568752e-01,-7.57482802e-01,0.00000000e+00,0
1.06007206e-02,-3.10227768e-02,3.72568752e-01,-7.57482802e-01,0.00000000e+00,0
9.90631135e-03,-1.42435175e-02,3.36848327e-01,-2.51479526e-01,0.00000000e+00,0
1.60017288e-02,-2.46271111e-02,4.43289685e-01,-5.91274714e-01,0.00000000e+00,0
1.79886676e-02,-1.79886676e-02,3.58709157e-01,-3.58709157e-01,0.00000000e+00,0
3.77413850e-02,-1.97358725e-02,8.71619524e-01,-3.97072407e-01,0.00000000e+00,0
-4.00047421e-02,-1.14863892e-02,-9.54240674e-01,-2.13875645e-01,0.00000000e+00,0
-2.46271111e-02,-1.60017288e-02,-5.91274714e-01,-4.43289685e-01,0.00000000e+00,0
-1.71905199e-02,-1.71905199e-02,-4.67532238e-01,-4.67532238e-01,0.00000000e+00,0
-8.09950820e-03,-1.32866891e-02,-2.25583419e-01,-2.96748081e-01,0.00000000e+00,0
-7.87669373e-03,-1.52437774e-02,-2.52609911e-01,-3.59630907e-01,0.00000000e+00,0
7.87669383e-03,-1.52437774e-02,2.52609924e-01,-3.59630913e-01,0.00000000e+00,0
8.09950821e-03,-1.32866895e-02,2.25583431e-01,-2.96748133e-01,0.00000000e+00,0
1.71905199e-02,-1.71905199e-02,4.67532238e-01,-4.67532238e-01,0.00000000e+00,0
2.46271111e-02,-1.60017288e-02,5.91274714e-01,-4.43289685e-01,0.00000000e+00,0
4.00047421e-02,-1.14863892e-02,9.54240674e-01,-2.13875645e-01,0.00000000e+00,0
-3.21381687e-02,-9.74499434e-03,-7.76617735e-01,-2.30002701e-01,0.00000000e+00,0
-1.42435174e-02,-9.90631128e-03,-2.51479510e-01,-3.36848318e-01,0.00000000e+00,0
-1.32866891e-02,-8.09950820e-03,-2.96748081e-01,-2.25583419e-01,0.00000000e+00,0
-7.98135404e-03,-7.98135404e-03,-2.45069604e-01,-2.45069604e-01,0.00000000e+00,0
-8.63986182e-04,-8.05932527e-03,-6.77535579e-02,-3.95976653e-01,0.00000000e+00,0
8.69956872e-04,-8.08794403e-03,6.82678857e-02,-4.00661275e-01,0.00000000e+00,0
7.98271791e-03,-7.98271791e-03,2.45186884e-01,-2.45186884e-01,0.00000000e+00,0
1.32866895e-02,-8.09950821e-03,2.96748133e-01,-2.25583431e-01,0.00000000e+00,0
1.42435175e-02,-9.90631135e-03,2.51479526e-01,-3.36848327e-01,0.00000000e+00,0
3.21381687e-02,-9.74499434e-03,7.76617735e-01,-2.30002701e-01,0.00000000e+00,0
-3.61008055e-02,-3.46537137e-03,-8.55484053e-01,-8.82634879e-02,0.00000000e+00,0
-3.10227768e-02,-1.06007206e-02,-7.57482802e-01,-3.72568752e-01,0.00000000e+00,0
-1.52437774e-02,-7.87669373e-03,-3.59630907e-01,-2.52609911e-01,0.00000000e+00,0
-8.05932527e-03,-8.63986182e-04,-3.95976653e-01,-6.77535579e-02,0.00000000e+00,0
-1.41918610e-03,-1.41918610e-03,-7.33448145e-02,-7.33448145e-02,0.00000000e+00,0
1.08306479e-03,-1.08306479e-03,4.46592574e-02,-4.46592574e-02,0.00000000e+00,0
8.08794403e-03,-8.69956872e-04,4.00661275e-01,-6.82678857e-02,0.00000000e+00,0
1.52437774e-02,-7.87669383e-03,3.59630913e-01,-2.52609924e-01,0.00000000e+00,0
3.10227768e-02,-1.06007206e-02,7.57482802e-01,-3.72568752e-01,0.00000000e+00,0
3.61008055e-02,-3.46537137e-03,8.55484053e-01,-8.82634879e-02,0.00000000e+00,0
-3.61008055e-02,3.46537137e-03,-8.55484053e-01,8.82634879e-02,0.00000000e+00,0
-3.10227768e-02,1.06007206e-02,-7.57482802e-01,3.72568752e-01,0.00000000e+00,0
-1.52437774e-02,7.87669383e-03,-3.59630913e-01,2.52609924e-01,0.00000000e+00,0
-8.08794403e-03,8.69956872e-04,-4.00661275e-01,6.82678857e-02,0.00000000e+00,0
-1.08306479e-03,1.08306479e-03,-4.46592574e-02,4.46592574e-02,0.00000000e+00,0
1.41918610e-03,1.41918610e-03,7.33448145e-02,7.33448145e-02,0.00000000e+00,0
8.05932527e-03,8.63986182e-04,3.95976653e-01,6.77535579e-02,0.00000000e+00,0
1.52437774e-02,7.87669373e-03,3.59630907e-01,2.52609911e-01,0.00000000e+00,0
3.10227768e-02,1.06007206e-02,7.57482802e-01,3.72568752e-01,0.00000000e+00,0
3.61008055e-02,3.46537137e-03,8.55484053e-01,8.82634879e-02,0.00000000e+00,0
-3.21381687e-02,9.74499434e-03,-7.76617735e-01,2.30002701e-01,0.00000000e+00,0
-1.42435175e-02,9.90631135e-03,-2.51479526e-01,3.36848327e-01,0.00000000e+00,0
-1.32866895e-02,8.09950821e-03,-2.96748133e-01,2.25583431e-01,0.00000000e+00,0
-7.98271791e-03,7.98271791e-03,-2.45186884e-01,2.45186884e-01,0.00000000e+00,0
-8.69956872e-04,8.08794403e-03,-6.82678857e-02,4.00661275e-01,0.00000000e+00,0
8.63986182e-04,8.05932527e-03,6.77535579e-02,3.95976653e-01,0.00000000e+00,0
7.98135404e-03,7.98135404e-03,2.45069604e-01,2.45069604e-01,0.00000000e+00,0
1.32866891e-02,8.09950820e-03,2.96748081e-01,2.25583419e-01,0.00000000e+00,0
1.42435174e-02,9.90631128e-03,2.51479510e-01,3.36848318e-01,0.00000000e+00,0
3.21381687e-02,9.74499434e-03,7.76617735e-01,2.30002701e-01,0.00000000e+00,0
-4.00047421e-02,1.14863892e-02,-9.54240674e-01,2.13875645e-01,0.00000000e+00,0
-2.46271111e-02,1.60017288e-02,-5.91274714e-01,4.43289685e-01,0.00000000e+00,0
-1.71905199e-02,1.71905199e-02,-4.67532238e-01,4.67532238e-01,0.00000000e+00,0
-8.09950821e-03,1.32866895e-02,-2.25583431e-01,2.96748133e-01,0.00000000e+00,0
-7.87669383e-03,1.52437774e-02,-2.52609924e-01,3.59630913e-01,0.00000000e+00,0
7.87669373e-03,1.52437774e-02,2.52609911e-01,3.59630907e-01,0.00000000e+00,0
8.09950820e-03,1.32866891e-02,2.25583419e-01,2.96748081e-01,0.00000000e+00,0
1.71905199e-02,1.71905199e-02,4.67532238e-01,4.67532238e-01,0.00000000e+00,0
2.46271111e-02,1.60017288e-02,5.91274714e-01,4.43289685e-01,0.00000000e+00,0
4.00047421e-02,1.14863892e-02,9.54240674e-01,2.13875645e-01,0.00000000e+00,0
-3.77413850e-02,1.97358725e-02,-8.71619524e-01,3.97072407e-01,0.00000000e+00,0
-1.79886676e-02,1.79886676e-02,-3.58709157e-01,3.58709157e-01,0.00000000e+00,0
-1.60017288e-02,2.46271111e-02,-4.43289685e-01,5.91274714e-01,0.00000000e+00,0
-9.90631135e-03,1.42435175e-02,-3.36848327e-01,2.51479526e-01,0.00000000e+00,0
-1.06007206e-02,3.10227768e-02,-3.72568752e-01,7.57482802e-01,0.00000000e+00,0
1.06007206e-02,3.10227768e-02,3.72568752e-01,7.57482802e-01,0.00000000e+00,0
9.90631128e-03,1.42435174e-02,3.36848318e-01,2.51479510e-01,0.00000000e+00,0
1.60017288e-02,2.46271111e-02,4.43289685e-01,5.91274714e-01,0.00000000e+00,0
1.79886676e-02,1.79886676e-02,3.58709157e-01,3.58709157e-01,0.00000000e+00,0
3.77413850e-02,1.97358725e-02,8.71619524e-01,3.97072407e-01,0.00000000e+00,0
-3.03664794e-02,3.03664794e-02,-6.32866138e-01,6.32866138e-01,0.00000000e+00,0
-1.97358725e-02,3.77413850e-02,-3.97072407e-01,8.71619524e-01,0.00000000e+00,0
-1.14863892e-02,4.00047421e-02,-2.13875645e-01,9.54240674e-01,0.00000000e+00,0
-9.74499434e-03,3.21381687e-02,-2.30002701e-01,7.76617735e-01,0.00000000e+00,0
-3.46537137e-03,3.61008055e-02,-8.82634879e-02,8.55484053e-01,0.00000000e+00,0
3.46537137e-03,3.61008055e-02,8.82634879e-02,8.55484053e-01,0.00000000e+00,0
9.74499434e-03,3.21381687e-02,2.30002701e-01,7.76617735e-01,0.00000000e+00,0
1.14863892e-02,4.00047421e-02,2.13875645e-01,9.54240674e-01,0.00000000e+00,0
1.97358725e-02,3.77413850e-02,3.97072407e-01,8.71619524e-01,0.00000000e+00,0
3.03664794e-02,3.03664794e-02,6.32866138e-01,6.32866138e-01,0.00000000e+00,0
