x,y,vx,vy,pressure,type
-4.76067158e-02,-4.76067158e-02,-4.23773209e-01,-4.23773209e-01,0.00000000e+00,0
-4.70319485e-02,-6.60160129e-02,-4.43288835e-01,-5.91269900e-01,0.00000000e+00,0
-3.20797275e-02,-3.32450357e-02,-2.85787555e-01,-3.02391605e-01,0.00000000e+00,0
3.20797263e-02,-3.32450364e-02,2.85787549e-01,-3.02391584e-01,0.00000000e+00,0
4.70319485e-02,-6.60160129e-02,4.43288835e-01,-5.91269900e-01,0.00000000e+00,0
4.76067158e-02,-4.76067158e-02,4.23773209e-01,-4.23773209e-01,0.00000000e+00,0
-6.60160129e-02,-4.70319485e-02,-5.91269900e-01,-4.43288835e-01,0.00000000e+00,0
-4.54097477e-02,-4.54097477e-02,-4.02473733e-01,-4.02473733e-01,0.00000000e+00,0
-2.39102299e-02,-3.40632923e-02,-2.25954952e-01,-2.96857475e-01,0.00000000e+00,0
-2.55623670e-02,-4.03968649e-02,-2.52643129e-01,-3.59230739e-01,0.00000000e+00,0
2.55623681e-02,-4.03968650e-02,2.52643143e-01,-3.59230739e-01,0.00000000e+00,0
2.39102355e-02,-3.40632960e-02,2.25955059e-01,-2.96857502e-01,0.00000000e+00,0
4.54097477e-02,-4.54097477e-02,4.02473733e-01,-4.02473733e-01,0.00000000e+00,0
6.60160129e-02,-4.70319485e-02,5.91269900e-01,-4.43288835e-01,0.00000000e+00,0
-3.32450357e-02,-3.20797275e-02,-3.02391605e-01,-2.85787555e-01,0.00000000e+00,0
-3.40632923e-02,-2.39102299e-02,-2.96857475e-01,-2.25954952e-01,0.00000000e+00,0
-2.51381998e-02,-2.51381998e-02,-2.45104052e-01,-2.45104052e-01,0.00000000e+00,0
-5.59051882e-03,-3.57775751e-02,-6.74764540e-02,-3.95976390e-01,0.00000000e+00,0
5.63242918e-03,-3.61331102e-02,6.79898647e-02,-4.00643544e-01,0.00000000e+00,0
2.51477761e-02,-2.51477761e-02,2.45221383e-01,-2.45221383e-01,0.00000000e+00,0
3.40632960e-02,-2.39102355e-02,2.96857502e-01,-2.25955059e-01,0.00000000e+00,0
3.32450364e-02,-3.20797263e-02,3.02391584e-01,-2.85787549e-01,0.00000000e+00,0
-4.03968649e-02,-2.55623670e-02,-3.59230739e-01,-2.52643129e-01,0.00000000e+00,0
-3.57775751e-02,-5.59051882e-03,-3.95976390e-01,-6.74764540e-02,0.00000000e+00,0
-6.53826357e-03,-6.53826357e-03,-7.30889245e-02,-7.30889245e-02,0.00000000e+00,0
4.19668681e-03,-4.19668681e-03,4.44438534e-02,-4.44438534e-02,0.00000000e+00,0
3.61331102e-02,-5.63242918e-03,4.00643544e-01,-6.79898647e-02,0.00000000e+00,0
4.03968650e-02,-2.55623681e-02,3.59230739e-01,-2.52643143e-01,0.00000000e+00,0
-4.03968650e-02,2.55623681e-02,-3.59230739e-01,2.52643143e-01,0.00000000e+00,0
-3.61331102e-02,5.63242918e-03,-4.00643544e-01,6.79898647e-02,0.00000000e+00,0
-4.19668681e-03,4.19668681e-03,-4.44438534e-02,4.44438534e-02,0.00000000e+00,0
6.53826357e-03,6.53826357e-03,7.30889245e-02,7.30889245e-02,0.00000000e+00,0
3.57775751e-02,5.59051882e-03,3.95976390e-01,6.74764540e-02,0.00000000e+00,0
4.03968649e-02,2.55623670e-02,3.59230739e-01,2.52643129e-01,0.00000000e+00,0
-3.32450364e-02,3.20797263e-02,-3.02391584e-01,2.85787549e-01,0.00000000e+00,0
-3.40632960e-02,2.39102355e-02,-2.96857502e-01,2.25955059e-01,0.00000000e+00,0
-2.51477761e-02,2.51477761e-02,-2.45221383e-01,2.45221383e-01,0.00000000e+00,0
-5.63242918e-03,3.61331102e-02,-6.79898647e-02,4.00643544e-01,0.00000000e+00,0
5.59051882e-03,3.57775751e-02,6.74764540e-02,3.95976390e-01,0.00000000e+00,0
2.51381998e-02,2.51381998e-02,2.45104052e-01,2.45104052e-01,0.00000000e+00,0
3.40632923e-02,2.39102299e-02,2.96857475e-01,2.25954952e-01,0.00000000e+00,0
3.32450357e-02,3.20797275e-02,3.02391605e-01,2.85787555e-01,0.00000000e+00,0
-6.60160129e-02,4.70319485e-02,-5.91269900e-01,4.43288835e-01,0.00000000e+00,0
-4.54097477e-02,4.54097477e-02,-4.02473733e-01,4.02473733e-01,0.00000000e+00,0
-2.39102355e-02,3.40632960e-02,-2.25955059e-01,2.96857502e-01,0.00000000e+00,0
-2.55623681e-02,4.03968650e-02,-2.52643143e-01,3.59230739e-01,0.00000000e+00,0
2.55623670e-02,4.03968649e-02,2.52643129e-01,3.59230739e-01,0.00000000e+00,0
2.39102299e-02,3.40632923e-02,2.25954952e-01,2.96857475e-01,0.00000000e+00,0
4.54097477e-02,4.54097477e-02,4.02473733e-01,4.02473733e-01,0.00000000e+00,0
6.60160129e-02,4.70319485e-02,5.91269900e-01,4.43288835e-01,0.00000000e+00,0
-4.76067158e-02,4.76067158e-02,-4.23773209e-01,4.23773209e-01,0.00000000e+00,0
-4.70319485e-02,6.60160129e-02,-4.43288835e-01,5.91269900e-01,0.00000000e+00,0
-3.20797263e-02,3.32450364e-02,-2.85787549e-01,3.02391584e-01,0.00000000e+00,0
3.20797275e-02,3.32450357e-02,2.85787555e-01,3.02391605e-01,0.00000000e+00,0
4.70319485e-02,6.60160129e-02,4.43288835e-01,5.91269900e-01,0.00000000e+00,0
4.76067158e-02,4.76067158e-02,4.23773209e-01,4.23773209e-01,0.00000000e+00,0
