x,y,vx,vy,pressure,type
-5.45506861e-02,-5.45506861e-02,-2.45104052e-01,-2.45104052e-01,0.00000000e+00,0
5.45743421e-02,-5.45743421e-02,2.45221383e-01,-2.45221383e-01,0.00000000e+00,0
-1.53089345e-02,-1.53089345e-02,-7.30889245e-02,-7.30889245e-02,0.00000000e+00,0
9.52994921e-03,-9.52994921e-03,4.44438534e-02,-4.44438534e-02,0.00000000e+00,0
-9.52994921e-03,9.52994921e-03,-4.44438534e-02,4.44438534e-02,0.00000000e+00,0
1.53089345e-02,1.53089345e-02,7.30889245e-02,7.30889245e-02,0.00000000e+00,0
-5.45743421e-02,5.45743421e-02,-2.45221383e-01,2.45221383e-01,0.00000000e+00,0
5.45506861e-02,5.45506861e-02,2.45104052e-01,2.45104052e-01,0.00000000e+00,0
