x,y,vx,vy,pressure,type
-5.49492685e-02,-5.74298274e-02,-2.85925554e-01,-3.02253606e-01,0.00000000e+00,0
5.49492669e-02,-5.74298264e-02,2.85925549e-01,-3.02253585e-01,0.00000000e+00,0
-4.19868311e-02,-5.78123695e-02,-2.25957758e-01,-2.96864034e-01,0.00000000e+00,0
4.19868453e-02,-5.78123754e-02,2.25957865e-01,-2.96864061e-01,0.00000000e+00,0
-5.74298274e-02,-5.49492685e-02,-3.02253606e-01,-2.85925554e-01,0.00000000e+00,0
-5.78123695e-02,-4.19868311e-02,-2.96864034e-01,-2.25957758e-01,0.00000000e+00,0
-4.47465240e-02,-4.47465240e-02,-2.45104052e-01,-2.45104052e-01,0.00000000e+00,0
4.47654867e-02,-4.47654867e-02,2.45221383e-01,-2.45221383e-01,0.00000000e+00,0
5.78123754e-02,-4.19868453e-02,2.96864061e-01,-2.25957865e-01,0.00000000e+00,0
5.74298264e-02,-5.49492669e-02,3.02253585e-01,-2.85925549e-01,0.00000000e+00,0
-1.23853775e-02,-1.23853775e-02,-7.30889245e-02,-7.30889245e-02,0.00000000e+00,0
7.75219508e-03,-7.75219508e-03,4.44438534e-02,-4.44438534e-02,0.00000000e+00,0
-7.75219508e-03,7.75219508e-03,-4.44438534e-02,4.44438534e-02,0.00000000e+00,0
1.23853775e-02,1.23853775e-02,7.30889245e-02,7.30889245e-02,0.00000000e+00,0
-5.74298264e-02,5.49492669e-02,-3.02253585e-01,2.85925549e-01,0.00000000e+00,0
-5.78123754e-02,4.19868453e-02,-2.96864061e-01,2.25957865e-01,0.00000000e+00,0
-4.47654867e-02,4.47654867e-02,-2.45221383e-01,2.45221383e-01,0.00000000e+00,0
4.47465240e-02,4.47465240e-02,2.45104052e-01,2.45104052e-01,0.00000000e+00,0
5.78123695e-02,4.19868311e-02,2.96864034e-01,2.25957758e-01,0.00000000e+00,0
5.74298274e-02,5.49492685e-02,3.02253606e-01,2.85925554e-01,0.00000000e+00,0
-4.19868453e-02,5.78123754e-02,-2.25957865e-01,2.96864061e-01,0.00000000e+00,0
4.19868311e-02,5.78123695e-02,2.25957758e-01,2.96864034e-01,0.00000000e+00,0
-5.49492669e-02,5.74298264e-02,-2.85925549e-01,3.02253585e-01,0.00000000e+00,0
5.49492685e-02,5.74298274e-02,2.85925554e-01,3.02253606e-01,0.00000000e+00,0
