x,y,z,vx,vy,vz,pressure,type
-1.00132356e-03,3.77921487e-04,-9.90624653e-04,5.32301323e-03,4.08975128e-03,2.90975855e-02,0.00000000e+00,0
-8.90231786e-04,4.44428991e-04,-1.10071679e-03,4.48786379e-03,-2.37212880e-02,3.25576995e-02,0.00000000e+00,0
-5.86708918e-04,2.73326275e-04,-1.24684959e-03,4.16704457e-02,-1.08055256e-02,-1.11207738e-02,0.00000000e+00,0
-7.24292022e-04,2.54709277e-04,-1.16593367e-03,-3.01720854e-02,-3.79809490e-03,-2.16672635e-02,0.00000000e+00,0
-4.69461427e-04,3.81668749e-04,-1.33132609e-03,2.02173649e-02,-1.61057767e-03,2.05844717e-04,4.60406900e+02,0
-2.81804106e-04,2.19860353e-04,-1.33179806e-03,-4.33964391e-02,1.15699541e-02,8.80513744e-03,0.00000000e+00,0
-1.81482609e-04,4.07016183e-04,-1.40417450e-03,-3.00870605e-02,-5.61024773e-03,-1.52296262e-02,1.19515791e+03,0
-7.15886857e-05,3.10546014e-04,-1.39070791e-03,1.27798271e-02,3.71998272e-02,-4.08578137e-02,1.55176542e+03,0
1.12328076e-04,4.73206060e-04,-1.41746445e-03,5.21939624e-03,5.35254103e-02,-8.08586298e-03,9.94963142e+02,0
2.81577068e-04,4.11282457e-04,-1.38764600e-03,1.52230546e-02,2.97659846e-02,-2.92101414e-02,1.50729874e+03,0
2.26100920e-04,2.18661948e-04,-1.34197474e-03,-3.00697335e-02,-5.53836903e-04,1.45818664e-02,0.00000000e+00,0
4.13193718e-04,4.91907622e-04,-1.35796344e-03,8.57174746e-03,5.02678361e-02,-5.41466201e-02,1.26256568e+03,0
4.59173600e-04,4.22989462e-04,-1.33174132e-03,3.16393922e-02,1.62882376e-03,-4.05389693e-02,1.39480919e+03,0
3.75775865e-04,4.11748463e-04,-1.35914376e-03,2.14817604e-02,2.71923877e-03,-4.99696068e-02,1.45669149e+03,0
6.54034711e-04,3.22977393e-04,-1.22714828e-03,9.44952985e-03,-2.19948917e-02,3.50257676e-02,0.00000000e+00,0
7.21713850e-04,2.07686132e-04,-1.14390348e-03,-3.10983840e-02,7.48086513e-03,-2.52866164e-02,0.00000000e+00,0
7.30088488e-04,1.36483377e-04,-1.08903903e-03,-1.89648139e-02,3.36376922e-03,-7.75813393e-03,0.00000000e+00,0
-1.20844746e-03,4.49840007e-04,-7.31098648e-04,-1.36562480e-02,-1.85510930e-02,4.22925427e-03,0.00000000e+00,0
-1.13014963e-03,4.52023699e-04,-8.53397240e-04,6.78013745e-03,-4.95023064e-02,2.25968706e-02,0.00000000e+00,0
-1.08691207e-03,4.92492437e-04,-9.15835432e-04,-2.75384112e-02,-5.37105299e-02,3.69535639e-03,1.08856200e+03,0
-9.67673167e-04,4.86781444e-04,-1.04032841e-03,7.01315323e-03,-5.42279058e-02,-2.07249896e-02,1.16632343e+03,0
-8.28186661e-04,4.65330431e-04,-1.15059432e-03,9.93547389e-03,-5.22329695e-03,-1.56596867e-02,8.03823425e+02,0
