x,y,z,vx,vy,vz,pressure,type
-9.78703026e-04,3.28968377e-04,-9.48818919e-04,-1.48160735e-03,-5.24656838e-03,7.95155119e-02,0.00000000e+00,0
-8.64082359e-04,2.95670152e-04,-1.04320026e-03,1.37733223e-02,8.29465890e-03,5.33164933e-02,7.53730116e+02,0
-7.93365358e-04,3.07059024e-04,-1.10519377e-03,1.21973005e-02,9.54534544e-03,1.84298828e-02,8.67738085e+02,0
-7.87630865e-04,3.95210947e-04,-1.13111370e-03,2.66334634e-02,1.57219091e-03,5.44385742e-03,6.20004857e+02,0
-6.64300328e-04,3.08631604e-04,-1.19436336e-03,5.74226223e-03,3.69461343e-02,1.54316549e-02,4.63810390e+02,0
-5.76645535e-04,4.07505307e-04,-1.25830485e-03,1.30799751e-02,5.50623177e-02,5.08485506e-02,0.00000000e+00,0
-4.31765499e-04,2.09012128e-04,-1.26405759e-03,1.31995591e-02,3.67269816e-02,8.21683579e-02,0.00000000e+00,0
-3.65368414e-04,2.42108257e-04,-1.29569029e-03,7.63549989e-03,-3.14236455e-04,2.58446973e-02,0.00000000e+00,0
-2.84554496e-04,1.19420864e-04,-1.25006255e-03,2.23369281e-02,1.00098693e-02,3.18397109e-02,3.87165998e+02,0
-1.65783266e-04,5.21512893e-04,-1.22163373e-03,2.78087297e-02,3.39182975e-02,6.52477458e-02,7.36444317e+02,0
3.29058881e-05,2.74882571e-04,-1.24956198e-03,1.44021119e-02,2.77379265e-02,8.14638213e-03,4.44762044e+02,0
-6.18379200e-05,2.91849377e-04,-1.24496340e-03,1.94947704e-02,8.76090311e-02,-6.42291577e-03,5.41607926e+02,0
-4.84050454e-05,1.51978001e-04,-1.28880448e-03,-3.30340807e-04,3.47967621e-02,3.00774587e-02,0.00000000e+00,0
1.71386941e-04,1.21686308e-04,-1.24787438e-03,-3.84252957e-02,2.52738299e-02,-2.47423893e-02,0.00000000e+00,0
2.49543656e-04,1.58511874e-04,-1.25775325e-03,-5.92356984e-02,-4.75089574e-02,5.65608975e-02,0.00000000e+00,0
5.00268701e-04,1.54472527e-04,-1.17023565e-03,-6.29062757e-02,2.08785596e-02,2.28887985e-02,0.00000000e+00,0
4.72829641e-04,1.55811043e-04,-1.07799290e-03,1.93213108e-02,7.03710150e-02,6.09823017e-02,4.18654135e+02,0
5.78314815e-04,1.92852692e-04,-1.16035865e-03,6.77183230e-03,1.43287921e-02,4.97468153e-02,0.00000000e+00,0
7.12323433e-04,1.23454423e-04,-1.03871273e-03,1.46663090e-02,2.92948904e-02,7.00183224e-02,0.00000000e+00,0
