x,y,z,vx,vy,vz,pressure,type
-1.18171818e-03,3.29611575e-04,-7.71023945e-04,-3.31080375e-02,2.03694533e-02,2.42426308e-02,0.00000000e+00,0
-1.05238829e-03,1.73120688e-04,-8.38027285e-04,4.03353935e-02,-1.74819885e-02,3.02192435e-02,0.00000000e+00,0
-9.76254024e-04,3.11153266e-04,-1.01054164e-03,3.31922427e-02,4.29689357e-04,-2.19930951e-04,5.69714427e+02,0
-9.27332487e-04,3.48131382e-04,-1.06386929e-03,1.57615004e-02,4.97647993e-02,2.15620642e-02,0.00000000e+00,0
-8.81448292e-04,1.75506635e-04,-1.01377606e-03,4.41534570e-03,-1.07835238e-02,1.59642473e-02,5.15461930e+02,0
-8.75849289e-04,3.88465717e-04,-1.11221215e-03,-2.92075088e-02,1.57473008e-02,2.75002331e-02,0.00000000e+00,0
-6.59990145e-04,2.36463582e-04,-1.19667497e-03,-1.85089394e-02,-5.81782431e-03,1.38957625e-02,0.00000000e+00,0
-5.22185403e-04,2.57446485e-04,-1.26508024e-03,-2.05794388e-03,-1.35501096e-02,3.19439934e-02,0.00000000e+00,0
-4.73835132e-04,4.78038392e-04,-1.22727574e-03,-1.60009759e-02,-1.53183686e-03,1.79982874e-02,9.90917093e+02,0
-3.72860806e-04,8.70329600e-04,-1.11002376e-03,-1.22379492e-02,-1.70866840e-02,-4.21489971e-03,1.18974171e+03,0
-2.41212889e-04,9.47832074e-04,-1.06488856e-03,3.18978351e-03,8.32734589e-03,2.82976725e-02,1.09140393e+03,0
-3.64434455e-04,9.69736710e-04,-1.18227363e-03,-1.69838723e-02,2.71446333e-02,3.98374793e-02,1.06018305e+03,0
-8.26664743e-05,7.45987622e-04,-1.07962632e-03,1.37028675e-02,1.60240685e-02,1.22704290e-02,1.12506142e+03,0
-5.99797261e-05,1.85845446e-04,-1.35279180e-03,-9.46877414e-03,-3.51582916e-02,2.46179537e-03,0.00000000e+00,0
7.25709373e-07,2.34668059e-04,-1.37518217e-03,-1.56982682e-02,3.07002163e-02,1.25813269e-02,0.00000000e+00,0
4.87007655e-04,1.32884698e-04,-1.20489286e-03,1.68604373e-03,2.04498064e-02,3.59006144e-05,0.00000000e+00,0
1.78400266e-04,7.94943104e-04,-6.36568055e-04,4.91827044e-03,-8.79227978e-05,-5.25486647e-03,1.99143418e+03,0
4.77218766e-04,2.64634050e-04,-1.27985940e-03,-2.81599907e-02,-6.69940590e-03,-2.61310575e-03,6.95719675e+02,0
