x,y,z,vx,vy,vz,pressure,type
-1.07708443e-03,2.45856675e-04,-1.04945950e-03,-3.29414667e-02,-2.02247802e-02,-3.62441009e-03,0.00000000e+00,0
-9.73167584e-04,2.49117833e-04,-1.14814858e-03,-6.44376995e-02,-1.67931542e-02,-1.54261384e-02,4.00337177e+02,0
-9.08024265e-04,2.56843377e-04,-1.20434616e-03,-5.68162157e-02,-3.65103311e-02,2.04525581e-03,0.00000000e+00,0
-8.37257592e-04,2.66820440e-04,-1.25790886e-03,-4.23413250e-02,-2.88579446e-02,2.16311560e-02,0.00000000e+00,0
-7.77963360e-04,2.05676050e-04,-1.27579918e-03,-6.87910961e-02,3.52970892e-02,-1.67109624e-02,0.00000000e+00,0
-6.79451971e-04,2.26463165e-04,-1.34673375e-03,5.18364345e-02,-2.95235078e-03,-5.79224414e-02,0.00000000e+00,0
-4.61482450e-04,1.95181561e-04,-1.42733080e-03,-2.46902421e-02,8.38996958e-03,-4.54113458e-02,7.56190158e+02,0
-3.90750095e-04,1.49792080e-04,-1.42562335e-03,1.60775971e-02,-6.87571048e-02,4.67124141e-03,0.00000000e+00,0
-2.27243581e-04,1.21919506e-04,-1.37252470e-03,1.29806836e-02,5.68423941e-02,-2.94073939e-02,6.80416862e+02,0
-9.13834113e-05,1.36171134e-04,-1.36870253e-03,1.52732391e-02,2.15094926e-02,-7.53746588e-02,8.76373827e+02,0
8.40969307e-05,1.15516507e-04,-1.41598992e-03,-3.45884836e-02,-5.24611516e-02,-8.87883441e-02,7.01883841e+02,0
-3.91888129e-05,1.18994999e-04,-1.44660274e-03,-7.69261936e-03,-5.28533672e-02,-7.87477623e-02,7.83045755e+02,0
1.28017897e-05,1.45143867e-04,-1.36356281e-03,1.54664599e-02,2.33048274e-02,-5.47701909e-02,8.81235257e+02,0
1.90690364e-04,1.33130152e-04,-1.42311948e-03,-2.68845513e-02,4.63354401e-03,-6.90519902e-02,0.00000000e+00,0
3.66680202e-04,1.69533688e-04,-1.41061998e-03,9.84323429e-03,-1.83262102e-02,-4.44720113e-02,0.00000000e+00,0
6.80286796e-04,1.39693203e-04,-1.29516406e-03,7.15968844e-02,2.93732632e-03,-4.86644406e-02,5.55772045e+02,0
6.20329504e-04,1.26564199e-04,-1.21946465e-03,-4.40266944e-02,-3.27793591e-02,-1.00391413e-01,7.28177583e+02,0
8.30776128e-04,1.55559627e-04,-1.23314052e-03,-9.52323381e-03,4.28038632e-02,-6.58594488e-02,0.00000000e+00,0
9.06963560e-04,1.70032085e-04,-1.19638954e-03,2.70727857e-02,7.00620041e-03,-2.60552507e-02,0.00000000e+00,0
