x,y,z,vx,vy,vz,pressure,type
-1.08736071e-03,3.32390110e-04,-9.61297323e-04,-1.07112022e-02,-8.70528951e-03,4.15488616e-02,5.74004807e+02,0
-9.85564893e-04,2.14394441e-04,-1.01094756e-03,2.31447465e-03,-6.48373286e-03,4.40632643e-02,5.51197593e+02,0
-8.83402599e-04,2.39673870e-04,-1.10469695e-03,2.00575520e-02,-1.78504380e-03,-3.40879795e-03,0.00000000e+00,0
-8.32641342e-04,2.89043994e-04,-1.16401692e-03,2.61312268e-02,1.83068106e-02,4.26135623e-03,0.00000000e+00,0
-7.67784209e-04,1.44413072e-04,-1.13358463e-03,-3.14936416e-03,1.23449734e-03,1.46842938e-02,0.00000000e+00,0
-7.15041938e-04,3.56831146e-04,-1.25750157e-03,-1.77839022e-02,3.38758698e-02,1.83756912e-02,1.14492771e+03,0
-5.78725450e-04,1.96848274e-04,-1.27171045e-03,3.73325809e-03,-5.65094958e-02,-5.65979568e-03,9.10769100e+02,0
-4.49434147e-04,2.48257861e-04,-1.34206288e-03,2.63480544e-02,2.99347299e-02,-3.53517790e-03,1.04723421e+03,0
-2.96166390e-04,1.62008981e-04,-1.33954557e-03,2.18893940e-02,-5.92033428e-03,-7.48491469e-03,0.00000000e+00,0
-3.45274555e-04,7.02544355e-04,-1.16467611e-03,-1.30766386e-02,3.54252945e-02,-1.16400825e-02,1.38026145e+03,0
-1.17259512e-04,6.21101762e-04,-1.35640587e-03,1.64933628e-03,8.60851367e-03,1.84315292e-02,1.03179393e+03,0
-2.15098346e-04,5.88357758e-04,-1.35019669e-03,-1.29736437e-02,3.09189470e-02,2.30123835e-02,9.84753756e+02,0
-4.30638411e-05,2.60102293e-04,-1.32638979e-03,-3.28926368e-02,1.28237537e-02,1.18551987e-02,9.28066710e+02,0
9.64426117e-05,1.44266157e-04,-1.38574892e-03,-7.01146896e-03,-6.88448433e-03,1.16898750e-02,0.00000000e+00,0
2.20250508e-04,1.18070091e-04,-1.33660389e-03,2.76131617e-02,4.86262805e-03,-9.44537336e-03,0.00000000e+00,0
5.48146629e-04,1.26315043e-04,-1.23450766e-03,-4.77159465e-03,-4.58954600e-02,-7.61935903e-03,1.11099950e+03,0
4.24913556e-04,4.89471370e-04,-1.17814592e-03,-4.85884393e-04,1.12792295e-02,1.37268869e-02,1.29131979e+03,0
6.48229766e-04,1.26800766e-04,-1.19099076e-03,3.07075054e-02,-5.65568188e-02,4.90299922e-03,1.11345007e+03,0
7.56781812e-04,3.27035256e-04,-1.10260744e-03,4.03412058e-02,1.46276856e-02,2.62093434e-03,1.40446338e+03,0
9.58290491e-04,4.86429577e-04,-9.95677285e-04,1.99929275e-02,2.78259344e-02,1.86776439e-02,1.17915331e+03,0
1.04436186e-03,2.42451686e-04,-8.08336259e-04,2.52259048e-02,3.39634501e-02,4.99567943e-03,1.12474130e+03,0
-1.02864856e-03,2.91707753e-04,-1.00612211e-03,5.73985121e-04,-5.59461699e-02,2.37692457e-02,0.00000000e+00,0
-9.58624979e-04,2.70019145e-04,-1.05930176e-03,1.08311479e-02,-2.57969061e-02,1.59775981e-03,0.00000000e+00,0
-9.11279576e-04,3.18541401e-04,-1.11389406e-03,1.09148688e-02,-6.86959496e-03,1.38978131e-02,0.00000000e+00,0
-7.76506383e-04,3.33494880e-04,-1.21540200e-03,-8.83874005e-03,-1.37183299e-02,3.24216658e-02,0.00000000e+00,0
-7.56918737e-04,5.19921020e-04,-1.24340175e-03,-5.50190423e-02,2.75064903e-02,3.83052818e-03,9.23549737e+02,0
-8.10491641e-04,4.09899811e-04,-1.20638161e-03,-2.88641105e-02,-1.53188210e-02,2.18234179e-02,0.00000000e+00,0
-6.60767585e-04,4.10684877e-04,-1.29502543e-03,-2.15398496e-02,-2.05196577e-03,-3.70154826e-02,1.13456056e+03,0
-4.53976153e-04,3.23208473e-04,-1.36696123e-03,3.24768726e-02,2.87395109e-02,1.25115453e-02,0.00000000e+00,0
-2.33521616e-04,1.99294890e-04,-1.37740330e-03,-2.19701761e-02,-7.97738197e-03,5.94620187e-03,0.00000000e+00,0
