x,y,z,vx,vy,vz,pressure,type
-1.17818975e-03,3.22410625e-04,-7.81678684e-04,-3.16133063e-02,-1.42020725e-02,1.83888263e-02,9.48893171e+02,0
-1.06346719e-03,1.65307755e-04,-8.46370829e-04,-8.87917670e-03,-6.83507289e-03,1.40669743e-02,9.38712332e+02,0
-9.54668049e-04,2.98380822e-04,-1.03914562e-03,-2.15074549e-02,-8.95203701e-04,1.96067424e-02,0.00000000e+00,0
-9.05106256e-04,3.43318368e-04,-1.08841682e-03,-8.24856432e-03,-3.99066803e-03,-1.19466518e-03,0.00000000e+00,0
-8.80129498e-04,1.39901440e-04,-1.01468121e-03,1.02985356e-02,2.67479893e-02,-3.57671211e-03,0.00000000e+00,0
-8.49582219e-04,3.82511751e-04,-1.13189766e-03,1.46705626e-02,-8.68736914e-03,-1.47049064e-02,0.00000000e+00,0
-6.38733584e-04,2.44384708e-04,-1.21917735e-03,-2.37835342e-02,-1.66890377e-02,-2.17765295e-02,1.10014295e+03,0
-4.95337103e-04,2.57139684e-04,-1.28411136e-03,-8.08175827e-03,-2.28956406e-02,-1.82614487e-02,1.22142117e+03,0
-4.77607856e-04,4.48321796e-04,-1.23401776e-03,1.78673864e-02,1.06478499e-02,-3.18764745e-02,1.05295092e+03,0
-3.90986939e-04,8.70460946e-04,-1.10013293e-03,1.14437863e-02,-2.04714390e-02,1.42180836e-02,1.34064096e+03,0
-2.22549643e-04,9.47047546e-04,-1.07439543e-03,-1.98803422e-03,5.86096352e-03,1.22081024e-02,1.19446620e+03,0
-3.72994363e-04,9.42469871e-04,-1.19216222e-03,1.78483017e-02,1.75445320e-02,1.31675989e-02,1.16611603e+03,0
-8.04098901e-05,7.26964085e-04,-1.08128247e-03,1.56119624e-02,-7.63107133e-03,1.20410001e-02,1.55002880e+03,0
-5.82686496e-05,1.94609767e-04,-1.33958358e-03,2.64758712e-02,-4.88011909e-02,-1.40186422e-02,7.94875655e+02,0
5.01090637e-06,2.48356587e-04,-1.36742913e-03,-7.80315474e-03,2.09023092e-02,-1.70865331e-02,0.00000000e+00,0
4.89911972e-04,1.37057497e-04,-1.20256867e-03,1.33291958e-02,-4.18518794e-02,5.64484045e-03,1.11940007e+03,0
1.82377825e-04,7.61665768e-04,-6.44364514e-04,1.77954851e-02,-1.86627002e-02,-2.44984386e-02,2.44316914e+03,0
4.87062472e-04,2.52967952e-04,-1.27165195e-03,5.12811941e-02,2.84269289e-02,-3.21312101e-02,1.19481546e+03,0
5.30618517e-04,8.28446329e-04,-1.06429589e-03,-2.14960555e-02,-6.54888579e-04,3.05563267e-02,1.55139126e+03,0
7.16197465e-04,8.41580455e-04,-8.94492837e-04,1.00070721e-02,-6.89816812e-05,5.47185817e-03,1.40216062e+03,0
1.12148951e-03,6.90668839e-04,-7.09532043e-04,-2.24456523e-02,4.41515763e-03,-1.87001790e-02,9.87760889e+02,0
-1.14572798e-03,2.38639134e-04,-7.83503988e-04,-3.37205621e-03,-4.73839179e-03,6.62046110e-03,9.11074081e+02,0
