x,y,z,vx,vy,vz,pressure,type
-1.12968128e-03,3.38482530e-04,-8.51569658e-04,-2.27855691e-02,-7.19810389e-03,-2.53758182e-02,1.04395161e+03,0
-1.06026581e-03,1.91599963e-04,-8.63244814e-04,-5.00080145e-03,1.34653806e-03,-2.58343725e-02,0.00000000e+00,0
-9.39963532e-04,2.92516711e-04,-1.04995766e-03,-3.48987127e-03,-8.26562857e-03,3.87197629e-03,5.58993210e+02,0
-8.94906305e-04,3.46637053e-04,-1.10627939e-03,-2.61873136e-02,-5.50729223e-04,-8.42944234e-03,0.00000000e+00,0
-8.38533587e-04,1.87509387e-04,-1.07905713e-03,1.16279406e-02,8.77380975e-03,-1.91227088e-02,0.00000000e+00,0
-8.32295181e-04,3.95523136e-04,-1.15768176e-03,-2.11599108e-02,-1.86768049e-02,3.34724597e-02,0.00000000e+00,0
-6.48522977e-04,2.41005475e-04,-1.21287212e-03,3.00555941e-02,8.50250119e-04,-1.44389500e-02,0.00000000e+00,0
-5.06157164e-04,2.24466314e-04,-1.26359090e-03,-3.42831761e-02,-1.62999172e-02,-1.90381437e-02,7.34960619e+02,0
-4.42418006e-04,1.30998279e-04,-1.14947085e-03,-1.87014056e-02,1.62132261e-02,-2.95236992e-02,8.18544700e+02,0
-3.93984101e-04,8.13785265e-04,-1.13813965e-03,-2.58122764e-02,-4.61822623e-03,9.40793157e-04,1.21200997e+03,0
-1.95349034e-04,8.97043022e-04,-1.24728912e-03,-5.07840966e-04,-8.77493361e-03,-7.54258248e-03,1.24927684e+03,0
-2.82718158e-04,8.25524778e-04,-1.25318778e-03,-1.17799642e-02,-4.63489545e-03,1.81274046e-02,1.31150804e+03,0
-1.08024595e-04,6.61847012e-04,-1.18080941e-03,2.32358274e-03,-1.12574767e-02,1.21173908e-02,1.40604239e+03,0
-8.09542016e-05,1.80781199e-04,-1.33143094e-03,8.99794648e-03,-1.38744819e-02,-1.22979675e-02,1.00138999e+03,0
1.38104204e-05,1.87837713e-04,-1.33538455e-03,-5.83760814e-03,2.19640444e-02,-2.61569813e-02,9.33404639e+02,0
5.04604304e-04,1.22684333e-04,-1.18500726e-03,-6.55301160e-04,-7.47189918e-03,3.59695755e-02,0.00000000e+00,0
2.29672150e-04,6.87811722e-04,-8.67200297e-04,-2.60387067e-02,1.51445822e-02,1.60364326e-02,1.99232330e+03,0
5.06357721e-04,1.91085215e-04,-1.24030330e-03,-2.92216092e-02,-2.17993447e-02,4.89818204e-02,0.00000000e+00,0
6.19596099e-04,6.30514386e-04,-1.05951557e-03,9.91196418e-03,7.24995313e-03,-2.72476133e-03,9.27935100e+02,0
7.93241055e-04,7.56830496e-04,-9.14567581e-04,1.49228898e-02,4.52683755e-02,-1.79233808e-02,7.72513372e+02,0
1.07259041e-03,4.86111362e-04,-7.70668732e-04,-2.71091574e-03,3.02838365e-02,8.63893289e-03,1.45509861e+03,0
-1.09411672e-03,2.62457001e-04,-8.65003565e-04,-3.95657079e-03,-1.57396381e-02,-3.47769900e-02,9.67098068e+02,0
-1.03355842e-03,2.41244066e-04,-9.31789618e-04,-1.70183169e-03,-2.37319872e-02,-5.07708676e-02,7.70081171e+02,0
-9.87657461e-04,3.59395150e-04,-1.03559998e-03,-1.38124463e-03,-5.30660747e-04,-4.10096477e-02,0.00000000e+00,0
-8.91767241e-04,4.44546346e-04,-1.12663436e-03,4.39011241e-02,-2.62295741e-04,3.85076597e-02,0.00000000e+00,0
-8.52129466e-04,5.67598931e-04,-1.16214283e-03,1.13605665e-03,-1.15397202e-02,-6.21473207e-03,0.00000000e+00,0
-9.66090970e-04,4.78460244e-04,-1.07264448e-03,5.11113056e-03,-9.78185206e-03,-5.11605244e-03,0.00000000e+00,0
-7.65832533e-04,4.31977729e-04,-1.20575831e-03,-7.44104674e-03,-1.37972037e-02,-2.75911184e-03,6.58038634e+02,0
