x,y,z,vx,vy,vz,pressure,type
-1.09478005e-03,3.55591843e-04,-8.37703990e-04,1.81157565e-02,-3.60632237e-03,1.00269229e-02,0.00000000e+00,0
-1.01189322e-03,1.84777785e-04,-8.36374212e-04,-2.03877780e-02,-9.80394771e-03,1.52701229e-02,8.62569072e+02,0
-9.14081636e-04,2.90897785e-04,-1.01731080e-03,-4.58728795e-03,3.55209998e-02,1.84527952e-02,0.00000000e+00,0
-8.72527767e-04,3.43958584e-04,-1.07573890e-03,-2.26606615e-03,4.09687091e-02,4.34321946e-02,0.00000000e+00,0
-7.98732229e-04,1.90600072e-04,-1.06433305e-03,-2.43042516e-02,1.75497162e-02,-1.69564291e-02,9.82246342e+02,0
-8.23275167e-04,3.94470893e-04,-1.12769248e-03,-1.37518383e-02,2.36151081e-03,1.17930453e-02,0.00000000e+00,0
-6.20179807e-04,2.53040454e-04,-1.21178358e-03,-1.25808169e-03,-9.79147676e-03,-3.66177302e-02,1.13168295e+03,0
-4.87820894e-04,2.70468938e-04,-1.28415462e-03,1.55781509e-02,-1.62178775e-02,-8.58662591e-03,8.04081252e+02,0
-4.03068574e-04,1.31912744e-04,-1.17369887e-03,4.58788653e-02,3.56561985e-02,2.53361218e-02,5.35370756e+02,0
-3.86591868e-04,7.91474026e-04,-1.12890714e-03,-1.48404818e-02,1.52209148e-03,-3.77724430e-02,1.10480095e+03,0
-1.98889303e-04,8.55407980e-04,-1.24917115e-03,-9.24938558e-03,4.99954414e-03,-3.90749364e-03,1.02868261e+03,0
-2.65895590e-04,7.76269847e-04,-1.24881029e-03,1.29073661e-02,-5.02539735e-03,-1.89997924e-02,9.68702361e+02,0
-8.94014427e-05,6.32126329e-04,-1.20374784e-03,-1.85726599e-02,2.40428549e-02,3.79907185e-02,1.31497896e+03,0
-6.15097010e-05,1.88531714e-04,-1.34091699e-03,-1.63316537e-02,2.79836909e-03,1.47915669e-02,0.00000000e+00,0
4.37402791e-05,1.41821569e-04,-1.31258297e-03,-9.85139128e-03,1.69494197e-02,-5.00718421e-03,0.00000000e+00,0
4.78599466e-04,1.26216142e-04,-1.20378406e-03,-2.28609624e-02,-1.14111323e-02,-1.44420050e-02,0.00000000e+00,0
2.65882834e-04,6.71910981e-04,-8.75096121e-04,-1.59648356e-02,-1.77904658e-02,-8.85628607e-03,1.97463589e+03,0
5.30644892e-04,1.89277073e-04,-1.21975061e-03,-5.50782562e-02,-2.17147345e-02,-2.11952987e-02,0.00000000e+00,0
5.94822085e-04,5.58920445e-04,-1.04885055e-03,8.30202272e-03,1.23484228e-02,-5.96822225e-03,1.48112557e+03,0
8.09297707e-04,6.69842040e-04,-9.05600830e-04,2.89427995e-02,-6.32826508e-03,4.58949472e-03,1.16487700e+03,0
1.05334570e-03,4.08209685e-04,-7.73427853e-04,-2.61554267e-02,4.28792737e-02,3.34984585e-02,1.37895475e+03,0
-1.06387542e-03,2.71208764e-04,-8.36985764e-04,-2.67587821e-02,-4.57635551e-03,1.16279546e-02,7.50869089e+02,0
-1.01285985e-03,2.52743827e-04,-8.92484648e-04,-3.61352956e-02,-2.29495939e-04,-2.06106421e-03,8.52033112e+02,0
-9.77390319e-04,3.37784555e-04,-9.74346688e-04,6.90261801e-03,2.26994957e-02,-8.24009723e-04,0.00000000e+00,0
-8.88677713e-04,4.29670965e-04,-1.07938357e-03,6.97201169e-03,1.54718341e-02,4.22752498e-03,0.00000000e+00,0
-8.24117968e-04,5.85385780e-04,-1.13885704e-03,-2.23370582e-02,-2.57780122e-02,6.66814281e-03,7.99833891e+02,0
-9.25722075e-04,4.99237110e-04,-1.05434924e-03,-3.95941957e-02,9.75338896e-03,1.45458108e-02,7.31375678e+02,0
-7.63789397e-04,4.47201855e-04,-1.17508120e-03,-4.54352727e-02,-2.40887227e-02,2.77032403e-02,9.73531776e+02,0
-5.36210084e-04,3.89792646e-04,-1.28929610e-03,1.09838020e-02,2.66289440e-02,-2.10896058e-02,1.00309700e+03,0
-3.65385491e-04,2.03827888e-04,-1.30794232e-03,3.30903989e-02,-3.73249066e-03,1.70727794e-02,0.00000000e+00,0
-3.84592122e-04,1.41955659e-04,-1.26406330e-03,-4.09102504e-03,-1.14432496e-03,3.79475738e-02,0.00000000e+00,0
-7.77575118e-05,2.60209156e-04,-1.36741016e-03,2.46238134e-02,-4.25159616e-03,-3.11289237e-02,4.89505945e+02,0
1.03125590e-04,1.96361183e-04,-1.34201751e-03,8.95441166e-03,-2.78621993e-02,-4.63773654e-03,8.70990726e+02,0
1.56555284e-04,3.57816998e-04,-1.38120436e-03,2.95508567e-02,-2.56511072e-02,-1.31542984e-02,1.11153455e+03,0
2.44782168e-04,3.34103852e-04,-1.36771216e-03,2.73205010e-02,2.36309463e-02,-2.58407463e-02,9.57561390e+02,0
2.48582388e-04,2.56964023e-04,-1.34553259e-03,5.84631179e-02,4.34200135e-03,6.32282827e-03,9.22299566e+02,0
3.78704975e-04,1.22248225e-04,-1.24465707e-03,1.29519484e-02,5.31147309e-02,-1.86537614e-03,0.00000000e+00,0
4.23255297e-04,2.57477900e-04,-1.29460891e-03,-2.12733064e-02,6.25894742e-03,-3.37313721e-03,0.00000000e+00,0
4.74496739e-04,5.97108177e-04,-1.22549463e-03,-4.71550718e-02,8.50177710e-03,1.26126897e-02,1.07284140e+03,0
4.46826736e-04,1.89366129e-04,-1.25539131e-03,-9.68621144e-03,3.67382023e-02,-4.27795615e-03,0.00000000e+00,0
6.03344277e-04,1.90146062e-04,-1.18256428e-03,-1.57563769e-02,-1.78277749e-02,-5.64864750e-02,8.20608432e+02,0
8.02577302e-04,1.16868063e-04,-9.67285719e-04,-4.03364124e-02,1.34867353e-02,-4.80812106e-02,0.00000000e+00,0
-1.03556825e-03,3.34065301e-04,-9.01566893e-04,-2.48175151e-02,1.87734258e-02,2.62022256e-03,7.66702970e+02,0
-1.01468048e-03,4.03641750e-04,-9.49213720e-04,-2.35667836e-02,9.24095040e-04,1.69735120e-02,7.36265623e+02,0
-1.01932571e-03,6.09586430e-04,-9.71197382e-04,2.44794914e-02,-2.92432274e-02,-7.97867505e-04,0.00000000e+00,0
-7.93508736e-04,3.21140266e-04,-1.13148587e-03,7.94110545e-03,3.55223527e-02,-8.55108041e-03,0.00000000e+00,0
-9.34048224e-04,3.78399261e-04,-1.02966838e-03,5.32164158e-03,9.32473387e-04,5.76083944e-03,0.00000000e+00,0
-8.31420182e-04,4.79325473e-04,-1.13028601e-03,-2.31557654e-02,3.01751004e-03,3.52270423e-02,0.00000000e+00,0
-5.58801905e-04,2.97314588e-04,-1.25741842e-03,2.69031608e-02,-1.62836902e-02,-2.93615328e-02,1.10062002e+03,0
-6.60450263e-04,3.21894907e-04,-1.21523596e-03,-2.22115521e-02,-8.20705143e-03,-1.78978762e-02,1.21849603e+03,0
-3.97805978e-04,3.50773595e-04,-1.33941110e-03,1.55893312e-02,-6.08910274e-03,9.15163813e-03,6.22996865e+02,0
-2.96089028e-04,2.17050479e-04,-1.33302425e-03,3.61730781e-02,9.97671573e-03,-2.00186638e-02,0.00000000e+00,0
-1.26209017e-04,4.12702483e-04,-1.39863998e-03,-6.37757059e-03,-1.10175020e-02,7.42263710e-05,6.25711062e+02,0
1.39956348e-05,2.13462640e-04,-1.35034788e-03,1.11527507e-02,-1.48798281e-02,-1.89428797e-02,0.00000000e+00,0
1.43215136e-04,4.33832674e-04,-1.39005082e-03,3.13080194e-03,-4.66936734e-02,-6.81459027e-03,0.00000000e+00,0
3.22679649e-04,3.30954468e-04,-1.34919233e-03,1.34278072e-02,2.36563800e-02,7.65805499e-03,0.00000000e+00,0
