x,y,z,vx,vy,vz,pressure,type
-8.11564506e-04,8.83481444e-04,-8.11564506e-04,7.19976848e-02,6.21876848e-02,7.19976848e-02,0.00000000e+00,0
-7.22559818e-04,8.57064637e-04,-8.37981313e-04,1.18848458e-01,3.59163302e-02,4.57263302e-02,9.65461530e+02,0
-6.50883705e-04,8.37837895e-04,-8.57208055e-04,1.35646251e-01,8.29495847e-02,9.27595847e-02,0.00000000e+00,0
-5.87252210e-04,8.26910208e-04,-8.68135742e-04,1.30233820e-01,1.28615939e-02,2.26715939e-02,8.70775187e+02,0
-5.19832158e-04,8.21575768e-04,-8.73470182e-04,5.35892644e-02,2.87103056e-02,3.85203056e-02,8.74809171e+02,0
-4.37433908e-04,8.11034007e-04,-8.84011943e-04,1.64210433e-01,7.05113982e-02,8.03213982e-02,0.00000000e+00,0
-3.83334834e-04,8.08122494e-04,-8.86923456e-04,2.13989968e-01,-4.86354185e-02,-3.88254185e-02,0.00000000e+00,0
-3.17354600e-04,8.19483523e-04,-8.75562427e-04,5.54275412e-02,-1.07214463e-01,-9.74044626e-02,9.72855021e+02,0
-2.37652135e-04,8.30538270e-04,-8.64507680e-04,-2.80924213e-02,-6.07232897e-02,-5.09132897e-02,1.27793096e+03,0
-1.36735786e-04,8.35742771e-04,-8.59303179e-04,-7.42099456e-02,3.61576607e-04,1.01715766e-02,0.00000000e+00,0
-7.00297404e-19,8.39002930e-04,-8.56043020e-04,-3.66034013e-15,4.67384494e-03,1.44838449e-02,0.00000000e+00,0
1.36735786e-04,8.35742771e-04,-8.59303179e-04,7.42099456e-02,3.61576607e-04,1.01715766e-02,0.00000000e+00,0
2.37652135e-04,8.30538270e-04,-8.64507680e-04,2.80924213e-02,-6.07232897e-02,-5.09132897e-02,1.27793096e+03,0
3.17354600e-04,8.19483523e-04,-8.75562427e-04,-5.54275412e-02,-1.07214463e-01,-9.74044626e-02,9.72855021e+02,0
3.83334834e-04,8.08122494e-04,-8.86923456e-04,-2.13989968e-01,-4.86354185e-02,-3.88254185e-02,0.00000000e+00,0
4.37433908e-04,8.11034007e-04,-8.84011943e-04,-1.64210433e-01,7.05113982e-02,8.03213982e-02,0.00000000e+00,0
5.19832158e-04,8.21575768e-04,-8.73470182e-04,-5.35892644e-02,2.87103056e-02,3.85203056e-02,8.74809171e+02,0
5.87252210e-04,8.26910208e-04,-8.68135742e-04,-1.30233820e-01,1.28615939e-02,2.26715939e-02,8.70775187e+02,0
6.50883705e-04,8.37837895e-04,-8.57208055e-04,-1.35646251e-01,8.29495847e-02,9.27595847e-02,0.00000000e+00,0
7.22559818e-04,8.57064637e-04,-8.37981313e-04,-1.18848458e-01,3.59163302e-02,4.57263302e-02,9.65461530e+02,0
8.11564506e-04,8.83481444e-04,-8.11564506e-04,-7.19976848e-02,6.21876848e-02,7.19976848e-02,0.00000000e+00,0
-8.37981313e-04,9.72486132e-04,-8.37981313e-04,4.57263302e-02,1.09038458e-01,4.57263302e-02,9.65461530e+02,0
-7.60238227e-04,9.34807723e-04,-8.75070075e-04,7.08695390e-02,6.10595390e-02,1.23533063e-01,0.00000000e+00,0
-6.69465299e-04,9.23415001e-04,-9.10951620e-04,1.16993598e-01,7.16109221e-02,1.65949967e-01,0.00000000e+00,0
-5.87810385e-04,9.01560170e-04,-9.24180451e-04,1.56818199e-01,2.88301511e-02,1.08721086e-01,0.00000000e+00,0
-5.09720299e-04,9.22026062e-04,-9.53163411e-04,8.65351027e-02,1.73197950e-01,6.92794738e-02,0.00000000e+00,0
-4.45958867e-04,8.81517716e-04,-9.36986427e-04,1.58035278e-01,1.32554782e-02,1.32744101e-01,0.00000000e+00,0
-3.80978354e-04,8.85320230e-04,-9.37949461e-04,1.49444891e-01,5.10159131e-02,4.22856892e-02,0.00000000e+00,0
-3.01242621e-04,8.92550422e-04,-9.24017598e-04,4.19552171e-02,-4.53624249e-02,-7.62155506e-02,1.04072884e+03,0
-2.04485579e-04,8.97606311e-04,-9.09208851e-04,3.59108216e-02,-2.26663031e-02,-3.56141081e-02,1.20111265e+03,0
